ma_sv,ma_mon,ten_mon,clo_id,clo_desc,plo,level,bloom,diem_clo,dat_clo,exam_type
SV0001,CSB35037,Nhập môn trí tuệ nhân tạo,CLO1,"Hiểu lịch sử, xu hướng và ứng dụng của trí tuệ nhân tạo.",PLO1,I,Nhận biết,6.4,1,midterm
SV0001,CSB35037,Nhập môn trí tuệ nhân tạo,CLO2,"Áp dụng thuật toán tìm kiếm (BFS, DFS, A*) để giải bài toán.",PLO3,R,Áp dụng,6.12,1,final
SV0001,CSB35037,Nhập môn trí tuệ nhân tạo,CLO3,Xây dựng hệ thống suy diễn logic và biểu diễn tri thức.,PLO3,R,Xây dựng,3.4,0,assignment
SV0001,CSB35037,Nhập môn trí tuệ nhân tạo,CLO4,Thiết kế và cài đặt mô hình học máy cơ bản.,PLO1,M,Thiết kế,3.38,0,midterm
SV0001,CSB35037,Nhập môn trí tuệ nhân tạo,CLO5,Đánh giá hiệu quả các phương pháp AI trong ứng dụng thực tế.,PLO2,M,Đánh giá,2.68,0,assignment
SV0001,DSB23018,Phân tích dữ liệu lớn,CLO1,"Mô tả và phân biệt các đặc điểm của dữ liệu lớn (Volume, Vel",PLO3,I,Mô tả,7.04,1,final
SV0001,DSB23018,Phân tích dữ liệu lớn,CLO2,Sử dụng công cụ Hadoop/Spark để xử lý dữ liệu phân tán.,PLO3,R,Sử dụng,3.56,0,final
SV0001,DSB23018,Phân tích dữ liệu lớn,CLO3,Phân tích và trực quan hóa dữ liệu lớn bằng Python.,PLO4,R,Phân tích,4.84,0,assignment
SV0001,DSB23018,Phân tích dữ liệu lớn,CLO4,Thiết kế pipeline xử lý dữ liệu cho bài toán thực tế.,PLO5,M,Thiết kế,7.12,1,final
SV0001,BEB23122,Triết học Mác-Lênin,CLO1,"Phân tích các khái niệm, phạm trù triết học qua các thời kỳ.",PLO10,R,Phân tích,4.58,0,final
SV0001,BEB23122,Triết học Mác-Lênin,CLO2,Giải thích bản chất thế giới dựa trên quan điểm triết học Má,PLO10,R,Giải thích,3.97,0,final
SV0001,BEB23122,Triết học Mác-Lênin,CLO3,Vận dụng tư duy biện chứng để giải quyết vấn đề thực tiễn.,PLO9,I,Vận dụng,3.22,0,assignment
SV0001,BEB23122,Triết học Mác-Lênin,CLO4,Đánh giá vấn đề chính trị-xã hội qua học thuyết kinh tế-xã h,PLO10,R,Đánh giá,4.05,0,midterm
SV0001,BEB23122,Triết học Mác-Lênin,CLO5,"Ứng dụng triết học chính trị vào nghiên cứu đạo đức, nhân si",PLO10,R,Ứng dụng,4.04,0,assignment
SV0001,BEB23122,Triết học Mác-Lênin,CLO6,Phát triển tư duy phản biện và lập luận logic trong nghiên c,PLO9,I,Sáng tạo,5.37,0,midterm
SV0002,DSB25031,Học máy và Học sâu,CLO1,Hiểu và giải thích các thuật toán học máy cơ bản.,PLO1,R,Giải thích,6.62,1,midterm
SV0002,DSB25031,Học máy và Học sâu,CLO2,Xây dựng mô hình dự đoán và phân loại bằng scikit-learn.,PLO3,R,Xây dựng,7.15,1,assignment
SV0002,DSB25031,Học máy và Học sâu,CLO3,"Thiết kế và huấn luyện mạng nơ-ron nhân tạo (ANN, CNN, RNN).",PLO3,M,Thiết kế,4.33,0,assignment
SV0002,DSB25031,Học máy và Học sâu,CLO4,"Đánh giá và cải thiện hiệu suất mô hình (overfitting, regula",PLO3,M,Đánh giá,3.57,0,final
SV0002,DSB25031,Học máy và Học sâu,CLO5,"Ứng dụng deep learning vào bài toán thực tế (NLP, Computer V",PLO2,M,Ứng dụng,6.88,1,midterm
SV0002,CSB35037,Nhập môn trí tuệ nhân tạo,CLO1,"Hiểu lịch sử, xu hướng và ứng dụng của trí tuệ nhân tạo.",PLO1,I,Nhận biết,5.14,0,final
SV0002,CSB35037,Nhập môn trí tuệ nhân tạo,CLO2,"Áp dụng thuật toán tìm kiếm (BFS, DFS, A*) để giải bài toán.",PLO3,R,Áp dụng,4.72,0,final
SV0002,CSB35037,Nhập môn trí tuệ nhân tạo,CLO3,Xây dựng hệ thống suy diễn logic và biểu diễn tri thức.,PLO3,R,Xây dựng,7.66,1,midterm
SV0002,CSB35037,Nhập môn trí tuệ nhân tạo,CLO4,Thiết kế và cài đặt mô hình học máy cơ bản.,PLO1,M,Thiết kế,4.54,0,assignment
SV0002,CSB35037,Nhập môn trí tuệ nhân tạo,CLO5,Đánh giá hiệu quả các phương pháp AI trong ứng dụng thực tế.,PLO2,M,Đánh giá,4.17,0,assignment
SV0002,BEB23122,Triết học Mác-Lênin,CLO1,"Phân tích các khái niệm, phạm trù triết học qua các thời kỳ.",PLO10,R,Phân tích,7.03,1,final
SV0002,BEB23122,Triết học Mác-Lênin,CLO2,Giải thích bản chất thế giới dựa trên quan điểm triết học Má,PLO10,R,Giải thích,3.55,0,assignment
SV0002,BEB23122,Triết học Mác-Lênin,CLO3,Vận dụng tư duy biện chứng để giải quyết vấn đề thực tiễn.,PLO9,I,Vận dụng,5.92,1,final
SV0002,BEB23122,Triết học Mác-Lênin,CLO4,Đánh giá vấn đề chính trị-xã hội qua học thuyết kinh tế-xã h,PLO10,R,Đánh giá,4.81,0,final
SV0002,BEB23122,Triết học Mác-Lênin,CLO5,"Ứng dụng triết học chính trị vào nghiên cứu đạo đức, nhân si",PLO10,R,Ứng dụng,5.51,1,assignment
SV0002,BEB23122,Triết học Mác-Lênin,CLO6,Phát triển tư duy phản biện và lập luận logic trong nghiên c,PLO9,I,Sáng tạo,5.1,0,final
SV0003,DSB23018,Phân tích dữ liệu lớn,CLO1,"Mô tả và phân biệt các đặc điểm của dữ liệu lớn (Volume, Vel",PLO3,I,Mô tả,4.97,0,midterm
SV0003,DSB23018,Phân tích dữ liệu lớn,CLO2,Sử dụng công cụ Hadoop/Spark để xử lý dữ liệu phân tán.,PLO3,R,Sử dụng,4.11,0,assignment
SV0003,DSB23018,Phân tích dữ liệu lớn,CLO3,Phân tích và trực quan hóa dữ liệu lớn bằng Python.,PLO4,R,Phân tích,6.59,1,assignment
SV0003,DSB23018,Phân tích dữ liệu lớn,CLO4,Thiết kế pipeline xử lý dữ liệu cho bài toán thực tế.,PLO5,M,Thiết kế,3.92,0,final
SV0003,CSB25017,Lập trình hướng đối tượng,CLO1,"Hiểu và giải thích các khái niệm OOP cơ bản (class, object, ",PLO1,R,Giải thích,5.19,0,midterm
SV0003,CSB25017,Lập trình hướng đối tượng,CLO2,Thiết kế và cài đặt chương trình theo mô hình OOP.,PLO2,R,Thiết kế,3.94,0,midterm
SV0003,CSB25017,Lập trình hướng đối tượng,CLO3,"Ứng dụng kế thừa, đa hình, đóng gói vào bài toán thực tế.",PLO1,M,Ứng dụng,4.69,0,assignment
SV0003,CSB25017,Lập trình hướng đối tượng,CLO4,Phân tích và debug lỗi trong chương trình hướng đối tượng.,PLO2,M,Phân tích,4.76,0,assignment
SV0003,CSB25017,Lập trình hướng đối tượng,CLO5,Sử dụng design patterns cơ bản trong phát triển phần mềm.,PLO2,M,Vận dụng,3.94,0,midterm
SV0003,DBB33003,Ra quyết định dựa trên dữ liệu,CLO1,Phân tích dữ liệu để hỗ trợ ra quyết định kinh doanh.,PLO3,R,Phân tích,5.69,1,midterm
SV0003,DBB33003,Ra quyết định dựa trên dữ liệu,CLO2,Xây dựng và diễn giải dashboard quản trị dữ liệu.,PLO4,R,Xây dựng,3.23,0,assignment
SV0003,DBB33003,Ra quyết định dựa trên dữ liệu,CLO3,Ứng dụng thống kê suy diễn trong phân tích kinh doanh.,PLO4,M,Ứng dụng,0.55,0,final
SV0003,DBB33003,Ra quyết định dựa trên dữ liệu,CLO4,Lập luận và bảo vệ quyết định dựa trên bằng chứng dữ liệu.,PLO9,M,Đánh giá,4.93,0,assignment
SV0004,CSB35037,Nhập môn trí tuệ nhân tạo,CLO1,"Hiểu lịch sử, xu hướng và ứng dụng của trí tuệ nhân tạo.",PLO1,I,Nhận biết,6.86,1,midterm
SV0004,CSB35037,Nhập môn trí tuệ nhân tạo,CLO2,"Áp dụng thuật toán tìm kiếm (BFS, DFS, A*) để giải bài toán.",PLO3,R,Áp dụng,3.96,0,midterm
SV0004,CSB35037,Nhập môn trí tuệ nhân tạo,CLO3,Xây dựng hệ thống suy diễn logic và biểu diễn tri thức.,PLO3,R,Xây dựng,4.8,0,midterm
SV0004,CSB35037,Nhập môn trí tuệ nhân tạo,CLO4,Thiết kế và cài đặt mô hình học máy cơ bản.,PLO1,M,Thiết kế,7.78,1,midterm
SV0004,CSB35037,Nhập môn trí tuệ nhân tạo,CLO5,Đánh giá hiệu quả các phương pháp AI trong ứng dụng thực tế.,PLO2,M,Đánh giá,4.45,0,assignment
SV0004,DBB33003,Ra quyết định dựa trên dữ liệu,CLO1,Phân tích dữ liệu để hỗ trợ ra quyết định kinh doanh.,PLO3,R,Phân tích,5.62,1,final
SV0004,DBB33003,Ra quyết định dựa trên dữ liệu,CLO2,Xây dựng và diễn giải dashboard quản trị dữ liệu.,PLO4,R,Xây dựng,6.88,1,final
SV0004,DBB33003,Ra quyết định dựa trên dữ liệu,CLO3,Ứng dụng thống kê suy diễn trong phân tích kinh doanh.,PLO4,M,Ứng dụng,5.97,1,final
