ma_sv,nam_hoc,hoc_ky,nam,ma_mon,ten_mon,khoi_kien_thuc,so_tin_chi,profile,diem_cc,diem_bt,diem_gk,diem_ck,diem_tong,xep_loai,diem_gpa,lms_logins,so_lan_vang,ty_le_nop_bai,muc_tham_gia,gio_tu_hoc,ielts_score,dat_mon,dropout_risk,risk_level,dat_PLO1,dat_PLO2,dat_PLO3,dat_PLO4,dat_PLO5,dat_PLO6,dat_PLO7,dat_PLO8,dat_PLO9,dat_PLO10
SV0001,2023-2024,1,3,BEB13009,Khởi sự kinh doanh,1,3,below_avg,5.62,4.98,3.78,5.56,4.91,F,0.0,26,5,0.719,5.47,18.8,5.3,1,0,Trung bình,,,,1.0,,,,1.0,,
SV0001,2023-2024,2,3,BEB14131,Chuẩn bị kỹ năng IELTS L2,1,4,below_avg,4.85,6.05,4.74,4.28,4.83,D,1.0,14,6,0.527,4.57,18.8,5.3,1,0,Trung bình,,,,,,1.0,,,,
SV0001,2023-2024,2,3,BEB12001,Kỹ năng học thuật,1,2,below_avg,6.64,5.44,5.3,5.02,5.35,D+,1.5,37,4,0.473,4.19,18.8,5.3,1,0,Trung bình,,,,,,0.0,,,1.0,
SV0001,2023-2024,2,3,DSB23016,Đại số tuyến tính,2,3,below_avg,5.86,3.99,3.81,5.28,4.64,D,1.0,25,5,0.45,5.23,18.8,5.3,1,0,Trung bình,0.0,,1.0,,,,,,,
SV0002,2023-2024,2,3,BEB14126,Tiếng Anh nền tảng 1,1,4,average,6.62,5.64,5.23,5.87,5.71,C,2.0,41,1,0.695,4.52,18.4,4.6,1,0,Trung bình,,,,,,0.0,,,,
SV0002,2023-2024,1,3,DSB410026,Đồ án tốt nghiệp,5,10,average,7.2,6.9,6.85,7.15,7.02,B,3.0,27,2,0.979,6.01,18.4,4.6,1,0,Thấp,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
SV0002,2023-2024,1,3,DSB23017,Thách thức dữ liệu 2,3,3,average,7.55,5.41,5.56,5.74,5.8,C,2.0,20,3,0.48,6.21,18.4,4.6,1,0,Trung bình,,,1.0,,,,0.0,1.0,,
SV0002,2023-2024,2,3,DSB33019,Thách thức dữ liệu 3,3,3,average,6.88,5.69,5.9,4.18,5.27,D+,1.5,18,1,0.4,6.6,18.4,4.6,1,0,Trung bình,,,0.0,,,,1.0,,0.0,
SV0003,2022-2023,2,2,BEB42125,Lịch sử Đảng CSVN,1,2,below_avg,3.93,5.52,5.09,3.79,4.54,D,1.0,8,5,0.471,5.23,10.3,4.3,1,0,Trung bình,,,,,,,,,,0.0
SV0003,2022-2023,2,2,BEB12001,Kỹ năng học thuật,1,2,below_avg,7.92,4.71,3.57,4.72,4.69,D,1.0,21,7,0.675,5.36,10.3,4.3,1,0,Cao,,,,,,1.0,,,0.0,
SV0003,2022-2023,1,2,DSB33021,Kỹ thuật mô hình hóa,3,3,below_avg,5.23,3.89,4.33,2.85,3.74,F,0.0,25,4,0.329,3.98,10.3,4.3,0,0,Cao,,0.0,1.0,,,,,,,
SV0003,2022-2023,2,2,CSB13054,Nhập môn lập trình và máy tính,2,3,below_avg,8.4,8.5,5.3,3.31,5.45,F,0.0,2,5,0.428,4.58,10.3,4.3,1,0,Trung bình,1.0,,1.0,,,,,,,
SV0004,2021-2022,2,1,DSB13002,Tiếng Anh trong CNTT,1,3,below_avg,6.34,7.12,4.96,5.68,5.82,C,2.0,16,3,0.405,4.27,14.2,3.7,1,0,Trung bình,0.0,,,,,0.0,,,,
SV0004,2021-2022,2,1,DSB33020,Dự đoán ứng dụng,3,3,below_avg,7.01,3.92,5.92,4.96,5.24,D+,1.5,18,4,0.452,5.45,14.2,3.7,1,0,Trung bình,,,1.0,1.0,,,,,,
SV0004,2021-2022,1,1,DSB45035,Ngôn ngữ tự nhiên,3,5,below_avg,4.47,5.21,6.69,4.69,5.37,D+,1.5,19,5,0.746,5.22,14.2,3.7,1,0,Trung bình,0.0,,1.0,,,,,,,
SV0004,2021-2022,1,1,BEB12002,Tin học ứng dụng,1,2,below_avg,6.51,6.84,5.02,3.03,4.74,D,1.0,9,7,0.809,4.82,14.2,3.7,1,0,Cao,1.0,,,,,,,,,
SV0005,2023-2024,1,3,DSB45028,Phân tích dữ liệu cho KHSS,3,5,average,6.8,6.61,7.69,6.31,6.83,C+,2.5,35,0,0.843,5.36,22.0,3.8,1,0,Thấp,,,1.0,1.0,,,,,,
SV0005,2023-2024,1,3,DSB23017,Thách thức dữ liệu 2,3,3,average,6.6,7.3,4.41,6.24,5.94,C,2.0,26,2,0.7,6.74,22.0,3.8,1,0,Trung bình,,,0.0,,,,1.0,0.0,,
SV0005,2023-2024,2,3,CSB35038,Quản lý dự án phần mềm,3,5,average,6.73,6.49,6.21,4.9,5.79,C,2.0,30,3,0.928,8.08,22.0,3.8,1,0,Trung bình,,,,,,,0.0,,,0.0
